zone,ttl,type,host,mx_priority,data,primary_ns,resp_contact,serial,refresh,retry,expire,minimum,comment,modified aaaa,0,A,@,null,127.0.0.1,null,null,0,0,0,0,0,test,0
 aaaa,0,A,*,null,www.crocheck600.co.kr,null,null,0,0,0,0,0,test,0
 aaaa,0,A,ns,null,127.0.0.1,null,null,0,0,0,0,0,test,0
 aaaa,0,NS,@,null,ns,null,null,0,0,0,0,0,test,0
 aaaa,3600,SOA,@,null,null,null,null,0,0,0,0,0,test,0
 test,0,A,@,null,127.0.0.1,null,null,0,0,0,0,0,null,0
 test,0,A,*,null,www.crocheck600.co.kr,null,null,0,0,0,0,0,null,0
 test,0,A,ns,null,127.0.0.1,null,null,0,0,0,0,0,null,0
 test,0,NS,@,null,ns,null,null,0,0,0,0,0,null,0
 test,3600,SOA,@,null,null,null,null,0,0,0,0,0,null,0
 goguma,0,A,@,null,127.0.0.1,null,null,0,0,0,0,0,null,0
 goguma,0,A,*,null,www.crocheck600.co.kr,null,null,0,0,0,0,0,null,0
 goguma,0,A,ns,null,127.0.0.1,null,null,0,0,0,0,0,null,0
 goguma,0,NS,@,null,ns,null,null,0,0,0,0,0,null,0
 goguma,3600,SOA,@,null,null,null,null,0,0,0,0,0,null,0
 insert,0,A,@,null,127.0.0.1,null,null,0,0,0,0,0,null,0
 insert,0,A,*,null,www.crocheck600.co.kr,null,null,0,0,0,0,0,null,0
 insert,0,A,ns,null,127.0.0.1,null,null,0,0,0,0,0,null,0
 insert,0,NS,@,null,ns,null,null,0,0,0,0,0,null,0
 insert,3600,SOA,@,null,null,null,null,0,0,0,0,0,null,0
aaaaa,3600,SOA,@,null,Origin,Primary_ns,Responsible Person,20180912,14400,3600,60480,86400,null,1
Test11111,3600,SOA,@,null,Origin,Primary_ns,Responsible Person,20180912,14400,3600,60480,86400,null,1
daum.net,0,A,@,null,127.0.0.1,null,null,0,0,0,0,0,null,1
daum.net,0,A,*,null,www.naver.com,null,null,0,0,0,0,0,null,1
daum.net,0,A,ns,null,127.0.0.1,null,null,0,0,0,0,0,null,1
daum.net,0,NS,@,null,ns,null,null,0,0,0,0,0,null,1
daum.net,3600,SOA,@,null,daum.net,null,null,0,0,0,0,0,테스트입니다.,1
dbrain.go.kr,0,A,@,null,1.2.3.44,null,null,0,0,0,0,0,,0
list.com,0,A,ns,null,1.1.1.1,null,null,0,0,0,0,0,null,0
abc.co.rk,0,PTR,@,null,@,null,null,0,0,0,0,0,null,0
list.com,0,NS,@,null,ns,null,null,0,0,0,0,0,null,0
list.com,3600,SOA,@,null,www.list.com,ns.update.com,admin@update.com,20180912,14400,3600,60480,0,null,0
rr11.com,0,SRV,test,null,10 20 5000 sip-server.example.com.,null,null,0,0,0,0,0,srv self format must be applied.,0
rr3.co.kru,0,A,asdasd,null,1.2.4.6,null,null,0,0,0,0,0,,0
abc.co.rk,0,A,ns,null,1.2.3.4,null,null,0,0,0,0,0,,0
abc.co.rk,0,A,ns2,null,1.22.33.4,null,null,0,0,0,0,0,,0
rr11.com,0,NS,@,null,ns,null,null,0,0,0,0,0,,0
rr11.com,3600,SOA,@,null,guns.co.kr.,ns,root.gun.co.kr.,20180104,14400,3600,604800,86400,,0
rr11.com,0,A,ns,null,5.4.3.26,null,null,0,0,0,0,0,,0
rr10.com,0,A,ns,null,5.4.3.22,null,null,0,0,0,0,0,line1\r\nline2 - need check new line char,0
rr10.com,3600,SOA,@,null,guns.co.kr.,ns,root.gun.co.kr.,20180104,14400,3600,604800,0,null,0
rr10.com,0,NS,@,null,ns,null,null,0,0,0,0,0,,0
rr3.co.kru,3600,SOA,@,null,gj.co.kr,ns,rootroot.gj.co.kr,20180104,14400,3600,604800,86400,null,0
rr3.co.kru,0,A,ns,null,1.2.3.49,null,null,0,0,0,0,0,,0
rr3.co.kru,0,NS,@,null,ns,null,null,0,0,0,0,0,null,0
abc.co.rk,0,NS,@,null,ns,null,null,0,0,0,0,0,,0
abc.co.rk,3600,SOA,@,null,guns.co.kr.,ns,root.gun.co.kr.,20180104,14400,3600,604800,86400,,0
rr2.co.kr,0,A,ns,null,1.2.3.45,null,null,0,0,0,0,0,null,0
rr2.co.kr,0,NS,@,null,ns,null,null,0,0,0,0,0,null,0
rr2.co.kr,3600,SOA,@,null,gj.co.kr,ns,root.gj.co.kr,20180104,14400,3600,604800,86400,null,0
gunss.co.kr,0,NS,@,null,ns,null,null,0,0,0,0,0,,0
gunss.co.kr,3600,SOA,@,null,guns.co.kr.,ns,root.gun.co.kr.,20180104,14400,3600,604800,86400,,0
gunss.co.kr,0,A,ns,null,5.4.3.2,null,null,0,0,0,0,0,,0
gun.co.kr,0,A,ns,null,5.4.3.2,null,null,0,0,0,0,0,,0
guns.co.kr,0,A,ns,null,1.1.2.2,null,null,0,0,0,0,0,null,0
guns.co.kr,0,NS,@,null,ns,null,null,0,0,0,0,0,null,0
guns.co.kr,0,A,wertds,null,1.2.3.44,null,null,0,0,0,0,0,,0
guns.co.kr,0,A,terwtew,null,56.78.93.45,null,null,0,0,0,0,0,,0
guns.co.kr,0,A,yurtiryui,null,15.46.85.61,null,null,0,0,0,0,0,,0
guns.co.kr,0,A,wqekrjsasdf,null,56.5.4.6,null,null,0,0,0,0,0,,0
guns.co.kr,3600,SOA,@,null,ns.gun.co.kr.,ns,root.gun.co.kr.,20180104,14400,3600,604800,86400,,0
crocheck700.co.kr,0,A,www77,null,7.7.7.7,null,null,0,0,0,0,0,,0
crocheck600.co.kr,0,A,mail2,null,1.1.1.101,null,null,0,0,0,0,0,null,0
gun.co.kr,0,NS,@,null,ns,null,null,0,0,0,0,0,,0
seoultech.or.kr,0,CNAME,robotlab,null,htlab.seoultech.ac.kr.,null,null,0,0,0,0,0,열전달연구실,0
seoultech.or.kr,0,CNAME,remsys,null,square.seoultech.ac.kr.,null,null,0,0,0,0,0,,0
seoultech.or.kr,0,CNAME,reading,null,library.seoultech.ac.kr.,null,null,0,0,0,0,0,,0
seoultech.or.kr,0,CNAME,phys,null,basic.seoultech.ac.kr.,null,null,0,0,0,0,0,교수학습개발센터,0
seoultech.or.kr,0,CNAME,olddormitory,null,dormitory.seoultech.ac.kr.,null,null,0,0,0,0,0,,0
seoultech.or.kr,0,CNAME,itpolicy,null,wwwgrade.seoultech.ac.kr.,null,null,0,0,0,0,0,it정책전문대학원,0
seoultech.or.kr,0,MX,language,1,alt3.aspmx.l.google.com.,null,null,0,0,0,0,0,,0
seoultech.or.kr,0,MX,language,1,alt2.aspmx.l.google.com.,null,null,0,0,0,0,0,,0
seoultech.or.kr,0,MX,language,1,alt1.aspmx.l.google.com.,null,null,0,0,0,0,0,,0
seoultech.or.kr,0,MX,language,1,aspmx.l.google.com.,null,null,0,0,0,0,0,,0
seoultech.or.kr,0,MX,language,1,alt4.aspmx.l.google.com.,null,null,0,0,0,0,0,,0
seoultech.or.kr,0,MX,@,1,filter.seoultech.ac.kr.,null,null,0,0,0,0,0,,0
seoultech.or.kr,0,MX,@,1,mail.seoultech.ac.kr.,null,null,0,0,0,0,0,,0
seoultech.or.kr,0,CNAME,zeus,null,pandora.seoultech.ac.kr.,null,null,0,0,0,0,0,,0
seoultech.or.kr,0,CNAME,writing,null,basic.seoultech.ac.kr.,null,null,0,0,0,0,0,교수학습개발센터,0
seoultech.or.kr,0,CNAME,wellness,null,zzz.seoultech.ac.kr.,null,null,0,0,0,0,0,홈페이지,0
seoultech.or.kr,0,CNAME,vcfd,null,zzz.seoultech.ac.kr.,null,null,0,0,0,0,0,홈페이지,0
seoultech.or.kr,0,CNAME,v-biz,null,zzz.seoultech.ac.kr.,null,null,0,0,0,0,0,홈페이지,0
seoultech.or.kr,0,CNAME,ttcco,null,basic.seoultech.ac.kr.,null,null,0,0,0,0,0,교수학습개발센터,0
seoultech.or.kr,0,CNAME,times,null,zzz.seoultech.ac.kr.,null,null,0,0,0,0,0,홈페이지,0
